ID,Weight,C_Result,H_Result,N_Result,patch size,plant community,subject
S1K                                     ,10151,5.027751,0.900131,0.464839,small,knapweed,SK
S1P                                     ,11765,7.535695,1.16908,0.695036,small,natural,SP
S2K                                     ,9129,5.980389,1.022592,0.578552,small,knapweed,SK
S2P                                     ,11435,9.576585,1.411013,0.852251,small,natural,SP
S3K                                     ,12603,5.489892,1.045863,0.542457,small,knapweed,SK
S3P                                     ,12787,9.169987,1.416335,0.820847,small,natural,SP
S4K                                     ,14866,3.8591,0.790508,0.35528,small,knapweed,SK
S4P                                     ,8596,4.312432,0.795533,0.375829,small,natural,SP
S5K                                     ,16718,2.481057,0.711575,0.246965,small,knapweed,SK
S5P                                     ,12990,5.817132,0.969775,0.555191,small,natural,SP
S6K                                     ,11999,6.440102,1.102232,0.582052,small,knapweed,SK
S6P                                     ,12812,3.979429,0.65391,0.334813,small,natural,SP
S7K                                     ,13572,4.052371,0.875751,0.397056,small,knapweed,SK
S7P                                     ,9357,4.326751,0.795117,0.402568,small,natural,SP
S8K                                     ,8333,6.489518,1.05488,0.591992,small,knapweed,SK
S8P                                     ,9868,5.734243,0.958988,0.499905,small,natural,SP
S9K                                     ,12387,5.950736,0.96013,0.5833,small,knapweed,SK
S9P                                     ,10123,11.16411,1.592271,1.109696,small,natural,SP
S10K                                    ,11915,4.595993,0.861086,0.459024,small,knapweed,SK
S10P                                    ,10636,5.73067,0.960434,0.546992,small,natural,SP
S11K                                    ,14642,6.711946,1.234173,0.619381,small,knapweed,SK
S11P                                    ,9391,6.805243,1.222343,0.60788,small,natural,SP
S12K                                    ,10320,6.789863,1.170574,0.632928,small,knapweed,SK
S12P                                    ,14212,6.655295,1.198453,0.629575,small,natural,SP
S13K                                    ,16186,4.054936,0.924085,0.373532,small,knapweed,SK
S13P                                    ,11089,4.163126,0.927537,0.394314,small,natural,SP
S14K                                    ,13162,4.463015,0.936367,0.403983,small,knapweed,SK
S14P                                    ,14105,5.337499,1.011166,0.489876,small,natural,SP
S15K                                    ,16255,3.353208,0.807703,0.346209,small,knapweed,SK
S15P                                    ,9480,4.949522,0.936328,0.439885,small,natural,SP
S16K                                    ,13348,3.854602,0.818546,0.393299,small,knapweed,SK
S16P                                    ,15270,5.054621,0.936686,0.471945,small,natural,SP
S17K                                    ,11926,4.662106,0.845507,0.445852,small,knapweed,SK
S17P                                    ,10854,5.364526,0.944565,0.478696,small,natural,SP
S18K                                    ,14238,4.368065,0.878517,0.37914,small,knapweed,SK
S18P                                    ,10913,7.134933,1.228076,0.607192,small,natural,SP
S19K                                    ,11292,4.028539,0.810367,0.402762,small,knapweed,SK
S19P                                    ,14673,3.59651,0.7625,0.339388,small,natural,SP
S20K                                    ,11059,5.56139,1.036754,0.49789,small,knapweed,SK
S20P                                    ,13685,5.155167,1.026452,0.484201,small,natural,SP
L1K                                     ,11227,9.814178,1.544746,0.902745,large,knapweed,LK
L1P                                     ,9937,10.53249,1.581188,0.97512,large,natural,LP
L2K                                     ,12390,3.89789,0.796085,0.374694,large,knapweed,LK
L2P                                     ,11905,6.668315,1.126125,0.590605,large,natural,LP
L3K                                     ,16650,5.495554,1.06569,0.526851,large,knapweed,LK
L3P                                     ,12437,4.713493,0.918006,0.44381,large,natural,LP
L4K                                     ,8086,8.16874,1.208827,0.746041,large,knapweed,LK
L4P                                     ,10301,6.619006,1.04165,0.609204,large,natural,LP
L5K                                     ,16893,3.481589,0.719391,0.331536,large,knapweed,LK
L5P                                     ,11293,7.246888,1.094006,0.714629,large,natural,LP
L6K                                     ,10426,7.152062,1.182957,0.623905,large,knapweed,LK
L6P                                     ,15265,3.989272,0.808157,0.388996,large,natural,LP
L7K                                     ,16015,4.036849,0.810115,0.398587,large,knapweed,LK
L7P                                     ,13770,5.149592,0.87204,0.479252,large,natural,LP
L8K                                     ,13460,4.781292,0.948666,0.472242,large,knapweed,LK
L8P                                     ,8907,9.582042,1.380976,0.896973,large,natural,LP
L9K                                     ,14610,4.867369,0.873581,0.461858,large,knapweed,LK
L9P                                     ,12141,4.156441,0.86318,0.400163,large,natural,LP
L10K                                    ,12002,5.200716,1.009289,0.513868,large,knapweed,LK
L10P                                    ,10594,8.608854,1.341871,0.811463,large,natural,LP
L11K                                    ,10414,4.524587,0.910236,0.448381,large,knapweed,LK
L11P                                    ,15430,5.297337,0.998369,0.523902,large,natural,LP
L12K                                    ,16930,6.172611,1.08465,0.530892,large,knapweed,LK
L12P                                    ,14225,6.768118,1.109214,0.582512,large,natural,LP
L13K                                    ,15053,3.25666,0.74165,0.326338,large,knapweed,LK
L13P                                    ,7122,9.100532,1.303678,0.824283,large,natural,LP
L14K                                    ,15345,4.654015,0.891449,0.456446,large,knapweed,LK
L14P                                    ,14068,7.455431,1.148374,0.692618,large,natural,LP
L15K                                    ,12454,2.557638,0.667235,0.26874,large,knapweed,LK
L15P                                    ,11734,10.06857,1.401199,0.946548,large,natural,LP
L16K                                    ,11708,6.151609,1.04802,0.586711,large,knapweed,LK
L16P                                    ,13613,6.542113,1.103618,0.614649,large,natural,LP
L17K                                    ,12158,3.60247,0.75748,0.389613,large,knapweed,LK
L17P                                    ,15898,2.950498,0.660331,0.300504,large,natural,LP
L18K                                    ,15977,3.156389,0.691967,0.314222,large,knapweed,LK
L18P                                    ,16560,6.758368,1.08586,0.640547,large,natural,LP
L19K                                    ,14540,4.178879,1.079303,0.422546,large,knapweed,LK
L19P                                    ,8815,4.581662,1.119355,0.455539,large,natural,LP
L20K                                    ,12410,10.74165,1.77405,0.956705,large,knapweed,LK
L20P                                    ,14358,3.137622,0.825351,0.325355,large,natural,LP
